hit_id	worker_id	worktime_s	item_id	wav	transcription
34XASH8KLQKHTC6A3XR3J8I5RGXPMM	01b6e4951b1d4913b2d4f2a4e22cec8a	21	food_jar_3_3	food_jar_3_3_2	this is a glass jar of Classico spicy red pepper spaghetti sauce
34YWR3PJ288PZ71U0JEMFOXVQC5X07	01b6e4951b1d4913b2d4f2a4e22cec8a	23	apple_3_3	apple_3_3_6	this is a red shiny Apple
351S7I5UG9URPJOCKL1JZRLTN71NJK	01b6e4951b1d4913b2d4f2a4e22cec8a	24	onion_5_3	onion_5_3_3	this is an unpeeled yellow onion
35F6NGNVM8HW01SUG8YY50MCLUNT7K	01b6e4951b1d4913b2d4f2a4e22cec8a	13	plate_4_3	plate_4_3_3	this is a green ceramic plate
35F6NGNVM8HW01SUG8YY50MCLUO7TZ	01b6e4951b1d4913b2d4f2a4e22cec8a	23	stapler_5_2	stapler_5_2_3	this is a small light purple stapler
35NNO802AVUVU84623GJNQ6TASCNI8	01b6e4951b1d4913b2d4f2a4e22cec8a	20	pliers_4_1	pliers_4_1_5	this is a pair of Steel pliers with red and black handles
35O6H0UNLSENZUI6GL5X5AL7WM25JD	01b6e4951b1d4913b2d4f2a4e22cec8a	18	hammer_3_3	hammer_3_3_3	this is a steel Hammer with a pink handle
35XW21VSVGCU0M4HV2UIE08REVESL3	01b6e4951b1d4913b2d4f2a4e22cec8a	15	marker_5_2	marker_5_2_4	this is a standard-sized Sharpie black permanent marker
35YHTYFL1G1OSMBP3MWPUANEG3MVF6	01b6e4951b1d4913b2d4f2a4e22cec8a	16	food_can_2_4	food_can_2_4_2	this is a can of Hanover black beans
36818Z1KV3B9KMSY8W4RXEK4S3H3A5	01b6e4951b1d4913b2d4f2a4e22cec8a	14	flashlight_2_4	flashlight_2_4_3	this is a black flashlight with an orange button
36818Z1KV3B9KMSY8W4RXEK4S3HA3C	01b6e4951b1d4913b2d4f2a4e22cec8a	18	measuring_tape_1_2	measuring_tape_1_2_5	this is a yellow plastic tape measure with a black label
36AZSFEYZ4YYF5Z9YKATBKWT15UVBO	01b6e4951b1d4913b2d4f2a4e22cec8a	29	water_bottle_5_3	water_bottle_5_3_1	this is a short transparent water bottle it has a light blue label and a white cap
36FQTHX3Z3PE3WXQEA4NSP4AAL23B0	01b6e4951b1d4913b2d4f2a4e22cec8a	13	lemon_4_3	lemon_4_3_1	this is a yellow lime
36KM3FWE3RAVKSV3I6AOLPK7OJR07G	01b6e4951b1d4913b2d4f2a4e22cec8a	16	water_bottle_1_4	water_bottle_1_4_5	this is a dark blue reusable water bottle with a flip top
36QZ6V1589BXJCRB4GMJ5N4ARM7SUX	01b6e4951b1d4913b2d4f2a4e22cec8a	48	coffee_mug_1_3	coffee_mug_1_3_2	this is a coffee mug with a tan inside and a red and white outside finish
36QZ6V1589BXJCRB4GMJ5N4ARM7USZ	01b6e4951b1d4913b2d4f2a4e22cec8a	41	scissors_1_1	scissors_1_1_4	this is a pair of scissors with a black handle and a pink.
371Q3BEXDH7E5BLLA3LRMFJPT4MSZM	01b6e4951b1d4913b2d4f2a4e22cec8a	16	banana_5_3	banana_5_3_4	this is a scuffed and bruised yellow banana
371Q3BEXDH7E5BLLA3LRMFJPT4MZST	01b6e4951b1d4913b2d4f2a4e22cec8a	44	allen_wrench_1_4	allen_wrench_1_4_2	this is a pack of silver Allen wrenches they have a red organizer
374UMBUHN5N2CINQ7P69LMEQM5FCTX	01b6e4951b1d4913b2d4f2a4e22cec8a	15	can_opener_4_4	can_opener_4_4_5	this is a can opener with a black and silver handle
37G6BXQPLQJ4H0FCMCI96536NASQEP	01b6e4951b1d4913b2d4f2a4e22cec8a	17	screwdriver_1_3	screwdriver_1_3_3	this is a flat tip screwdriver with a black and red handle
37MQ8Z1JQEULVMUIK242HQXJPGK2Y3	01b6e4951b1d4913b2d4f2a4e22cec8a	19	tissue_box_1_3	tissue_box_1_3_1	this is a box of Kleenex with a blue orange and yellow floral design
37NXA7GVST4ASELLPXZNPNSYDZ8VLB	01b6e4951b1d4913b2d4f2a4e22cec8a	18	pliers_5_2	pliers_5_2_1	this is a pair of Steel pliers it has black and red grips
37Y5RYYI0P3P0GL69LX6PU3EL4OXSU	01b6e4951b1d4913b2d4f2a4e22cec8a	12	lemon_1_1	lemon_1_1_4	this is a yellow lemon
382GHPVPHSPUIXCHZVU0KBY40TL34U	01b6e4951b1d4913b2d4f2a4e22cec8a	16	marker_4_4	marker_4_4_2	this is a large black Sharpie Magnum permanent marker
386659BNTLFH96G1TQTFKFTULXR01J	01b6e4951b1d4913b2d4f2a4e22cec8a	24	mouse_1_1	mouse_1_1_3	this is a wired black computer mouse with a black cord it has a USB tip
38G0E1M85M3DB48FYBROGAOHQQ1UV4	01b6e4951b1d4913b2d4f2a4e22cec8a	21	pliers_2_1	pliers_2_1_5	this is a pair of needle-nose pliers with a blue and red grip
38G0E1M85M3DB48FYBROGAOHQQ1VU5	01b6e4951b1d4913b2d4f2a4e22cec8a	15	marker_5_3	marker_5_3_4	this is a regular sized black permanent marker
38VTL6WC4ABDUJD52L60FX0V9QAY5Z	01b6e4951b1d4913b2d4f2a4e22cec8a	14	fork_1_4	fork_1_4_3	this is a silver-colored fort
391FPZIE4CK8T3DVTMAK19X8IBQUHE	01b6e4951b1d4913b2d4f2a4e22cec8a	17	marker_1_1	marker_1_1_1	this is a red erasable whiteboard marker
39I4RL8QGJF9C5JGEGJ2O5ZEJY34H2	01b6e4951b1d4913b2d4f2a4e22cec8a	13	picture_frame_5_3	picture_frame_5_3_2	this is a black picture frame with a table stand
39KMGHJ4RZ8H2HVJX7PF6AAKG5L00G	01b6e4951b1d4913b2d4f2a4e22cec8a	24	lightbulb_3_4	lightbulb_3_4_5	this is a white flood light
39KV3A5D185VL1FFR8T8VVQQJB9S7U	01b6e4951b1d4913b2d4f2a4e22cec8a	16	sponge_1_3	sponge_1_3_7	this is a two-sided cleaning sponge
39O6Z4JLX2V5S82A3G2B0HNLK8IXVZ	01b6e4951b1d4913b2d4f2a4e22cec8a	13	lemon_2_1	lemon_2_1_5	this is a yellow lemon
39RRBHZ0AUZUX32P4YQWX23WS8GZVY	01b6e4951b1d4913b2d4f2a4e22cec8a	30	book_1_4	book_1_4_1	this is a paperback book with a blue and yellow glossy cover
39TX062QX1MLGZ0RJ6W5HMV2TOPX32	01b6e4951b1d4913b2d4f2a4e22cec8a	21	coffee_mug_1_1	coffee_mug_1_1_3	this is a coffee mug with a handle it has a tan interior finish and a red glossy exterior finish
3A520CCNWNYCUK8VXGLNG5O1JS7AE3	01b6e4951b1d4913b2d4f2a4e22cec8a	12	stapler_1_3	stapler_1_3_2	this is a pink plastic stapler
3A9LA2FRWSC0A77QYRL7LGWCCT7HXT	01b6e4951b1d4913b2d4f2a4e22cec8a	115	toothpaste_1_1	toothpaste_1_1_5	this is a box of Arm & Hammer toothpaste it has a red and orange label
3AC6MFV69KGPF275Z99SI1CNKT5ZH8	01b6e4951b1d4913b2d4f2a4e22cec8a	20	hammer_6_2	hammer_6_2_3	this is a black rubber mallet with a wooden handle
3B9J25CZ25B1XIABIP1JBHI4KM0SCN	01b6e4951b1d4913b2d4f2a4e22cec8a	14	food_can_4_3	food_can_4_3_3	this is a can of yellow navy beans
3BAWBGQGYLXBDTWJL3YD6IAXIF47VF	01b6e4951b1d4913b2d4f2a4e22cec8a	20	toothbrush_3_2	toothbrush_3_2_1	this is a transparent toothbrush it has a green handle and blue bristles
3BDORL6HKKBPW3AY301EL7D8YKICRK	01b6e4951b1d4913b2d4f2a4e22cec8a	24	water_bottle_4_2	water_bottle_4_2_4	this is a standard-sized disposable transparent water bottle it has a blue and white label and a white cap
3CZH926SICCXSVSEOFBW3221RIB4EM	01b6e4951b1d4913b2d4f2a4e22cec8a	29	syringe_1_3	syringe_1_3_2	this is a transparent syringe with a blue plunger
3D4BBDG7ZHUXD1PWSA0I39ASS623C7	01b6e4951b1d4913b2d4f2a4e22cec8a	18	hammer_2_4	hammer_2_4_4	this is a steel Hammer with a yellow and black handle
3D5G8J4N5A2YBRTQY61EBE2F7CUVTE	01b6e4951b1d4913b2d4f2a4e22cec8a	19	lime_4_3	lime_4_3_3	this is a green line with slight yellowing
3DA79LNS59TEZIR7EWV8SJAWGS1T3F	01b6e4951b1d4913b2d4f2a4e22cec8a	21	stapler_4_4	stapler_4_4_1	this is a regular sized gray stapler with a black tip
3DGDV62G7O7RM82HTF8J4Z47LBH2P9	01b6e4951b1d4913b2d4f2a4e22cec8a	17	allen_wrench_5_4	allen_wrench_5_4_2	this is a pack of black Allen wrenches with a yellow organizer
3DQYSJDTYL9OQXGO8QD10DZZKDFXET	01b6e4951b1d4913b2d4f2a4e22cec8a	37	can_opener_2_3	can_opener_2_3_1	this is a can opener with a yellow plastic handle
3E22YV8GG14NBURAFY63WN75W67PNM	01b6e4951b1d4913b2d4f2a4e22cec8a	27	pliers_5_3	pliers_5_3_4	this is a pair of Steel pliers with a black and red handle
3EAWOID6MTVXVIWZ04D4R30AA1XV02	01b6e4951b1d4913b2d4f2a4e22cec8a	34	hammer_2_2	hammer_2_2_3	this is a steal a hammer with a yellow and black handle
3EFNPKWBMSMDJ9UGGU7Y888RJH503B	01b6e4951b1d4913b2d4f2a4e22cec8a	24	pencil_3_4	pencil_3_4_2	this is a black and red mechanical pencil it has a white eraser
3FBEFUUYRK38H5FGRY2P4HWO2UJA6I	01b6e4951b1d4913b2d4f2a4e22cec8a	48	screwdriver_5_2	screwdriver_5_2_3	this is a short screwdriver with a black and red handle
3FCO4VKOZ4BUBIAXQD936EMBIK17E9	01b6e4951b1d4913b2d4f2a4e22cec8a	18	cell_phone_3_4	cell_phone_3_4_3	this is a rectangular black cell phone is a smartphone
3FDWKV9VCN0ULHE6KJQXTE54ZXPUMN	01b6e4951b1d4913b2d4f2a4e22cec8a	21	shampoo_2_2	shampoo_2_2_2	this is a red and off-white bottle of shampoo
3FHTJGYT8NYH12AOSUT863Y8VULPGE	01b6e4951b1d4913b2d4f2a4e22cec8a	15	potato_1_1	potato_1_1_2	this is a medium sized white potato
3FJ2RVH25Z46ULMACQCMI94SG7Z29E	01b6e4951b1d4913b2d4f2a4e22cec8a	14	lemon_3_1	lemon_3_1_5	this is a yellow lemon with a product sticker
3FK4G712NXYH4ZZ7FBRJQMMM6PMSSH	01b6e4951b1d4913b2d4f2a4e22cec8a	22	spoon_3_3	spoon_3_3_3	this is a steel spoon
3FULMHZ7OUVV4JKR5DZFGA7A0K24MB	01b6e4951b1d4913b2d4f2a4e22cec8a	15	water_bottle_1_1	water_bottle_1_1_1	this is a blue water bottle with a flip top
3FVBZG9CLJCSDH1FVFW0C2912MN0HI	01b6e4951b1d4913b2d4f2a4e22cec8a	23	water_bottle_4_4	water_bottle_4_4_1	this is a standard transparent disposable water bottle it has a white and blue label and a white cat
3G3AJKPCXLQVY095OGNQA5UH9UFY4U	01b6e4951b1d4913b2d4f2a4e22cec8a	14	sponge_2_4	sponge_2_4_1	this is a pink cleaning sponge
3G3AJKPCXLQVY095OGNQA5UH9UG4Y1	01b6e4951b1d4913b2d4f2a4e22cec8a	32	bowl_2_4	bowl_2_4_1	this is a dark blue ceramic Bowl
3G5RUKN2EC12J7B3Y9A6AX7QR2PN9P	01b6e4951b1d4913b2d4f2a4e22cec8a	16	lemon_5_1	lemon_5_1_2	this is a yellow lime it has some bruises
3GITHABACYJRJNQ4D0VR0AZCLWFN2X	01b6e4951b1d4913b2d4f2a4e22cec8a	22	shampoo_5_2	shampoo_5_2_1	this is a light blue bottle of hair product with a gold cap
3GKAWYFRAPREPI0XQ4S00IVBI25PD4	01b6e4951b1d4913b2d4f2a4e22cec8a	15	pencil_2_2	pencil_2_2_2	this is a purple and white mechanical pencil
3GL25Y6843SM2L81PO1KDL48TF6XMI	01b6e4951b1d4913b2d4f2a4e22cec8a	44	potato_4_3	potato_4_3_3	this is a small white potato
3GMLHYZ0LEVUFY3K3ME8N9SB873UYD	01b6e4951b1d4913b2d4f2a4e22cec8a	17	measuring_tape_1_3	measuring_tape_1_3_4	this is a yellow plastic tape measure with a black label
3GONHBMNHVWB7G8GQ6P5A6KJ1F4ZMH	01b6e4951b1d4913b2d4f2a4e22cec8a	19	measuring_tape_4_1	measuring_tape_4_1_1	this is a miniature black tape measure with a keyring Loop
3GVPRXWRPHS6RNCJMWZURTK3AD87II	01b6e4951b1d4913b2d4f2a4e22cec8a	26	lime_5_2	lime_5_2_4	this is a small green line with a sticker
3HA5ODM5KAQXWRGB96WO196T5TGSVM	01b6e4951b1d4913b2d4f2a4e22cec8a	23	cell_phone_3_1	cell_phone_3_1_3	this is a rectangular black cell phone it is a smartphone
3HA5ODM5KAQXWRGB96WO196T5TGVSP	01b6e4951b1d4913b2d4f2a4e22cec8a	24	apple_5_1	apple_5_1_3	this is a yellow and red shiny apple with a barcode sticker
3HRWUH63QU0JIK9RVJXPYH2O566N5Y	01b6e4951b1d4913b2d4f2a4e22cec8a	27	allen_wrench_1_3	allen_wrench_1_3_3	this is a pack of silver Allen wrenches it has a red organizer
3HXCEECSQMRB1XXU99DG417QAPIZY7	01b6e4951b1d4913b2d4f2a4e22cec8a	16	scissors_4_1	scissors_4_1_2	this is a pair of scissors with orange and grey grips
3HXK2V1N4KDL9V9IQWIWAQQFKKU2G5	01b6e4951b1d4913b2d4f2a4e22cec8a	27	gauze_1_3	gauze_1_3_1	this is a pack of a rolled white cloth in a plastic bag
3I7KR83SNAB1B1Q01WIQI5QMX7KK9H	01b6e4951b1d4913b2d4f2a4e22cec8a	16	food_can_3_1	food_can_3_1_6	this is a can of tan chickpeas
3IH9TRB0FBXSG1XHXGILQJTQ7R7I1V	01b6e4951b1d4913b2d4f2a4e22cec8a	18	measuring_tape_4_4	measuring_tape_4_4_1	this is a small tape measure with a keyring
3IJ95K7NDXAHYHYBCFGG2ETDVFKNGG	01b6e4951b1d4913b2d4f2a4e22cec8a	15	pencil_1_2	pencil_1_2_5	this is a black and transparent mechanical pencil
3IVKZBIBJ07SEQLR4HFKM8FKXE5SHW	01b6e4951b1d4913b2d4f2a4e22cec8a	15	lightbulb_3_1	lightbulb_3_1_1	this is a white flood light
3J5XXLQDHM9TCAVWJRVNT1YHDDHV3X	01b6e4951b1d4913b2d4f2a4e22cec8a	15	bowl_1_1	bowl_1_1_4	this is an olive green ceramic Bowl
3J6BHNX0U9QM03UU261V06L62W1KNG	01b6e4951b1d4913b2d4f2a4e22cec8a	27	band_aid_1_1	band_aid_1_1_1	this is a box of Band-Aids with a picture from the movie Toy Story on the front
3J6BHNX0U9QM03UU261V06L62W1NKJ	01b6e4951b1d4913b2d4f2a4e22cec8a	14	pencil_5_2	pencil_5_2_5	this is a yellow and green mechanical pencil
3JAOYN9IHL0901TDZHPHA66YMTP339	01b6e4951b1d4913b2d4f2a4e22cec8a	16	band_aid_5_2	band_aid_5_2_3	this is a blue and white box of Band-Aids
3JGHED38EDPSHNROQELXDHER0W5Y7E	01b6e4951b1d4913b2d4f2a4e22cec8a	16	apple_2_3	apple_2_3_4	this is a bright green Granny Smith apple
3JMNNNO3B12H6HZI51MEWTC3E8K2W4	01b6e4951b1d4913b2d4f2a4e22cec8a	21	screwdriver_3_3	screwdriver_3_3_1	this is a screwdriver it has a two-tone blue handle with a yellow stripe and yellow letters
3JMQI2OLFZ3EMXOKAPF8WTQGIN4ND6	01b6e4951b1d4913b2d4f2a4e22cec8a	13	apple_3_1	apple_3_1_4	this is a shiny red and yellow apple
3JTPR5MTZSAIAEOOY6596PLKBB25KC	01b6e4951b1d4913b2d4f2a4e22cec8a	36	prescription_medicine_bottle_3_1	prescription_medicine_bottle_3_1_2	this is an orange bottle of prescription medication with a white label with colored and black Print and a white cap
3JYPJ2TAYI6BN2ETHANQOIYWUFLPFF	01b6e4951b1d4913b2d4f2a4e22cec8a	19	syringe_4_3	syringe_4_3_5	this is a small measured transparent syringe with a black tip and plunger
3K3G488TR264LHMJBBP62BXTAHTQ5O	01b6e4951b1d4913b2d4f2a4e22cec8a	42	picture_frame_4_2	picture_frame_4_2_1	this is a two-sided folding black picture frame
3KI0JD2ZU1GQY3HIKVQ5UQUY1MD76O	01b6e4951b1d4913b2d4f2a4e22cec8a	17	coffee_mug_4_3	coffee_mug_4_3_4	this is a ceramic coffee mug with a colorful flower pattern printed on it
3KL228NDMVKGQBD8F2O0AMC91KFKG8	01b6e4951b1d4913b2d4f2a4e22cec8a	18	bowl_4_3	bowl_4_3_1	this is a small light blue Bowl
3KLL7H3EGDZ86I2VYCKPXVZRWIZHVQ	01b6e4951b1d4913b2d4f2a4e22cec8a	20	scissors_4_2	scissors_4_2_5	this is a pair of scissors with an orange and grey handle
3KLL7H3EGDZ86I2VYCKPXVZRWIZVH4	01b6e4951b1d4913b2d4f2a4e22cec8a	27	gauze_2_4	gauze_2_4_1	this is a blue box of gauze pads
3L21G7IH47UE61CM1Y4OC7NEXA5Y1H	01b6e4951b1d4913b2d4f2a4e22cec8a	13	mouse_1_3	mouse_1_3_4	this is a black wired computer mouse
3L21G7IH47UE61CM1Y4OC7NEXA61YL	01b6e4951b1d4913b2d4f2a4e22cec8a	19	lightbulb_5_1	lightbulb_5_1_7	this is a white replacement shower head
3L2OEKSTW98WH1W70JD3RHAMBGBY81	01b6e4951b1d4913b2d4f2a4e22cec8a	17	mouse_1_2	mouse_1_2_2	this is a black wired computer mouse
3L84EBDQ370LSX9R5T9F8E4281WKKB	01b6e4951b1d4913b2d4f2a4e22cec8a	19	medicine_bottle_2_1	medicine_bottle_2_1_5	this is a white bottle of unidentified tablets
3LCXHSGDLT4GUGUPEG7E15I75YDSEG	01b6e4951b1d4913b2d4f2a4e22cec8a	24	screwdriver_3_2	screwdriver_3_2_1	this is a screwdriver with a two-tone blue and yellow striped handle
3LN50BUKPV9XNUOP3LQOJV3GRB7PLK	01b6e4951b1d4913b2d4f2a4e22cec8a	17	screwdriver_1_2	screwdriver_1_2_3	this is a screwdriver with a red and black handle
3LOJFQ4BOXDDER3HDCNS419COSZKDY	01b6e4951b1d4913b2d4f2a4e22cec8a	13	fork_3_4	fork_3_4_4	this is a thin silver colored pork
3M0556243SIBKH2G1VAYKTT1U0KNFH	01b6e4951b1d4913b2d4f2a4e22cec8a	20	hammer_2_3	hammer_2_3_4	this is a silver hammer with a yellow and black grip
3M93N4X8HKLO5WGHSHI5YLVZA69SJ1	01b6e4951b1d4913b2d4f2a4e22cec8a	14	onion_3_4	onion_3_4_4	this is an unpeeled Purple Onion
3MG8450X2O806KBJCZIPAIZZ420PUE	01b6e4951b1d4913b2d4f2a4e22cec8a	17	coffee_mug_4_4	coffee_mug_4_4_4	this is a coffee mug with a floral pattern and a handle
3MGHRFQY2LNEZCR45F0OY244SIZY0E	01b6e4951b1d4913b2d4f2a4e22cec8a	36	scissors_3_2	scissors_3_2_1	this is a pair of angled scissors with a black grip
3MJ9GGZYO34KZ4WF4WQME4FCMPHA21	01b6e4951b1d4913b2d4f2a4e22cec8a	38	pencil_1_3	pencil_1_3_3	this is a transparent black and blue mechanical pencil it has a white eraser
3MNJFORX8B27USWAXVECQCTF3FL5FA	01b6e4951b1d4913b2d4f2a4e22cec8a	37	bowl_3_4	bowl_3_4_5	this is a red ceramic Bowl
3MVY4USGB6LSALWBAZX5MKGZXRKSIP	01b6e4951b1d4913b2d4f2a4e22cec8a	14	lime_1_2	lime_1_2_1	this is a green lime
